site_id,pos_sales,eo_pct,utilization,epp_pct,exam_slots,asp,ar_pct,ar,appts_created,eo,epp,cl_exam,comp_exam,mas,mas_pct,ri,ri_pct,total_exam,comp_exam_pct,patient_fallout,date,site_name,Region,District,State,City,opening_date,Quad,sq_footage,dma,nearest_competitor,competitor_ct_1mi,median_hh_income_1mi,pop_1mi,avg_customer_age,is_acuity,is_tele_opt,property_type,vintage,exam_lanes,office_status,media_market,vintage_cohort,is_medicaid,pos_sales_dq_flag,utilization_dq_flag,asp_dq_flag,eo_pct_dq_flag,epp_pct_dq_flag,ri_pct_dq_flag,mas_pct_dq_flag,appts_created_dq_flag,patient_fallout_dq_flag,comp_exam_pct_dq_flag,zero_slots_flag,office_age_yrs,exams_per_lane,pos_sales_roll_mean,pos_sales_roll_std,pos_sales_wow_delta,pos_sales_wow_pct_chg,pos_sales_4w_trend,utilization_roll_mean,utilization_roll_std,utilization_wow_delta,utilization_wow_pct_chg,utilization_4w_trend,asp_roll_mean,asp_roll_std,asp_wow_delta,asp_wow_pct_chg,asp_4w_trend,eo_pct_roll_mean,eo_pct_roll_std,eo_pct_wow_delta,eo_pct_wow_pct_chg,eo_pct_4w_trend,epp_pct_roll_mean,epp_pct_roll_std,epp_pct_wow_delta,epp_pct_wow_pct_chg,epp_pct_4w_trend,ri_pct_roll_mean,ri_pct_roll_std,ri_pct_wow_delta,ri_pct_wow_pct_chg,ri_pct_4w_trend,mas_pct_roll_mean,mas_pct_roll_std,mas_pct_wow_delta,mas_pct_wow_pct_chg,mas_pct_4w_trend,appts_created_roll_mean,appts_created_roll_std,appts_created_wow_delta,appts_created_wow_pct_chg,appts_created_4w_trend,patient_fallout_roll_mean,patient_fallout_roll_std,patient_fallout_wow_delta,patient_fallout_wow_pct_chg,patient_fallout_4w_trend,comp_exam_pct_roll_mean,comp_exam_pct_roll_std,comp_exam_pct_wow_delta,comp_exam_pct_wow_pct_chg,comp_exam_pct_4w_trend,has_min_history,pos_sales_zscore,pos_sales_flag,utilization_zscore,utilization_flag,asp_zscore,asp_flag,eo_pct_zscore,eo_pct_flag,epp_pct_zscore,epp_pct_flag,ri_pct_zscore,ri_pct_flag,mas_pct_zscore,mas_pct_flag,appts_created_zscore,appts_created_flag,patient_fallout_zscore,patient_fallout_flag,comp_exam_pct_zscore,comp_exam_pct_flag,pos_sales_direction,utilization_direction,asp_direction,eo_pct_direction,epp_pct_direction,ri_pct_direction,mas_pct_direction,appts_created_direction,patient_fallout_direction,comp_exam_pct_direction,anomaly_score,pos_sales_neg_flag,pos_sales_pos_flag,utilization_neg_flag,utilization_pos_flag,asp_neg_flag,asp_pos_flag,eo_pct_neg_flag,eo_pct_pos_flag,epp_pct_neg_flag,epp_pct_pos_flag,ri_pct_neg_flag,ri_pct_pos_flag,mas_pct_neg_flag,mas_pct_pos_flag,appts_created_neg_flag,appts_created_pos_flag,patient_fallout_neg_flag,patient_fallout_pos_flag,comp_exam_pct_neg_flag,comp_exam_pct_pos_flag,negative_score,positive_score,weighted_negative_score,weighted_positive_score,primary_driver,anomaly_type,alert_tier,positive_tier,alert_tier_unweighted,sales_trajectory,predicted_sales_4w,trajectory_pct_change
MED-1131,1963.0053,0.6666666666666666,0.3,0.5,20.0,327.16755,1.0,2.0,35,4.0,1.0,2.0,6.0,0.0,0.0,4.0,0.6666666666666666,6.0,0.75,0,2026-03-28,MED-1131 MI-Dundee-Tecumseh Street,Region 1,District 107,MI,Dundee,2022-08-22 00:00:00,"4. Low Supply, Low Demand",4134.0,Detroit MI,Fountain Optometry Family Eye Care,0.0,,,45.0,1.0,,,2022 Vintage,,Active,,Post-COVID (2020-2022),1.0,0,0,0,0,0,0,0,0,0,0,0,3.6,,17161.8866,1963.771940240009,-14211.044899999999,-0.8786324219520476,-5137.1456,0.6051761017346461,0.0225766465930248,-0.29259259259259257,-0.49375,-0.0940928270042194,380.3188693199906,31.335914052752774,-9.791829166666673,-0.029059375616380834,-16.845904347826092,0.35697216063069726,0.07985955707228466,0.2348484848484848,0.5438596491228069,0.11851851851851851,0.6831723125840772,0.06758947479075028,-0.1923076923076923,-0.2777777777777778,-0.08823529411764704,0.7530918945553091,0.043095733968455105,-0.06060606060606066,-0.08333333333333337,-0.044444444444444474,0.4000484809308339,0.09842548824480524,-0.2857142857142857,-1.0,-0.15384615384615385,69.25,6.849574196011505,-32.0,-0.4776119402985075,-9.333333333333334,10.0,0.816496580927726,-9.0,-1.0,-3.6666666666666665,0.7334809964047252,0.0777954568087689,-0.050000000000000044,-0.0625,-0.004237288135593209,True,-7.7396366597143755,1,-13.517335290571108,1,-1.6961789986566993,0,3.8779892775469595,1,-2.7100715481390982,1,-2.0054242016600385,1,-4.0644805330894345,1,-5.000310825152272,1,-12.24744871391589,1,0.21233892405671725,0,below_normal,below_normal,normal,above_normal,below_normal,below_normal,below_normal,below_normal,below_normal,normal,8,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,7,1,9.5,1.5,utilization,Low Exam Conversion,Critical Alert,Normal,Critical Alert,green,31733.77,15.1659
MED-663,10501.3563,0.2,0.30303030303030304,0.6551724137931034,132.0,262.5339075,0.41379310344827586,12.0,71,4.0,19.0,6.0,20.0,1.0,0.16666666666666666,24.0,1.2,40.0,0.43478260869565216,0,2026-03-28,MED-663 LA-Houma,Region 3,District 308,LA,Houma,2019-12-02 00:00:00,"4. Low Supply, Low Demand",2110.0,New Orleans LA,America's Best Contacts & Eyeglasses,3.0,72007.0,10074.3,38.0,1.0,0.0,Free Standing,2019 Vintage,3.0,Active,"New Orleans, LA - MS",Growth Era (2016-2019),1.0,0,0,0,0,0,0,0,0,0,0,0,6.3,13.333333333333334,18163.958875,1093.0660473531802,-6879.444800000001,-0.39580711846475247,-2277.6834000000003,0.4234362538452774,0.0561925626285271,-0.07010402532790594,-0.18787878787878787,-0.03384994988048423,327.76288361844865,21.518186177587523,-85.08211449999999,-0.24475889808094053,-21.51012202830189,0.2670034461152882,0.10054678143508655,-0.028571428571428553,-0.12499999999999989,-0.028571428571428564,0.8073930134905745,0.021596307559348698,-0.14482758620689662,-0.18103448275862077,-0.04177179702831513,1.121076127819549,0.09123341826438054,0.11428571428571432,0.10526315789473695,-0.019047619047619053,0.39147727272727284,0.29769763326904797,-0.13333333333333333,-0.4444444444444444,0.02525252525252525,85.0,12.987173159185446,-4.0,-0.053333333333333344,-2.6666666666666665,16.25,4.112987559751015,-21.0,-1.0,-5.333333333333333,0.5665747061682573,0.020601471651483086,-0.1485507246376812,-0.25465838509316774,-0.037364130434782615,True,-7.010191738692017,1,-2.1427382056046014,1,-3.031341748794261,1,-0.6663907601910253,0,-7.04845489346521,1,0.8650763468243807,0,-0.755164236920321,0,-1.0779867049126246,0,-3.9508993800564074,1,-6.397217621252682,1,below_normal,below_normal,below_normal,normal,below_normal,normal,normal,normal,below_normal,below_normal,6,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,5,1,7.5,1.5,epp_pct,Medicaid Payer Mix Shift,Critical Alert,Normal,Critical Alert,green,19820.78,0.8874
MED-393,22492.644,0.39622641509433965,0.8217821782178217,0.5454545454545454,101.0,270.9957108433735,0.5909090909090909,39.0,129,21.0,36.0,6.0,53.0,5.0,0.8333333333333334,63.0,1.1886792452830188,83.0,0.5955056179775281,0,2026-03-28,MED-393 AL-Calera,Region 3,District 308,AL,Calera,2018-11-12 00:00:00,"2. High Supply, Low Demand",5210.0,Birmingham (Anniston & Tuscaloosa) AL,Walmart Vision & Glasses,1.0,73862.8,294.055,43.0,1.0,0.0,Free Standing,2018 Vintage,5.0,Active,"Birmingham, AL",Growth Era (2016-2019),1.0,0,0,0,0,0,0,0,0,0,0,0,7.4,16.6,36072.401725,1710.4094287251849,-11318.527399999999,-0.334757032404976,-4440.7666,0.6901608325449384,0.05718596764429477,0.10749646393210743,0.1504950495049504,0.06642187397547701,358.3723100864073,20.692090594150805,-84.91135652504755,-0.23857732624665928,-36.67144319405281,0.2909951240602407,0.028567447966469525,0.07364576993304933,0.2283018867924529,0.034036256011838704,0.6399554026387279,0.030296436038191203,-0.10366826156299846,-0.15970515970515975,-0.03735990037359901,1.077045853049264,0.05398027414708433,0.05964698721850259,0.05283018867924505,0.02367739548649646,0.7657407407407407,0.10073461310340094,0.0,0.0,0.02777777777777779,158.5,9.574271077563358,-41.0,-0.24117647058823533,-8.333333333333334,15.25,2.629955639676587,-17.0,-1.0,-4.333333333333333,0.600223308964488,0.042631320465284506,0.04683305160584672,0.08535701341065605,-0.0003285366975491015,True,-7.939477821471885,1,2.3016371164966145,1,-4.222705233454431,1,3.6836083908374344,1,-3.1192070600336015,1,2.0680404832620627,1,0.670996696271727,0,-3.081174510415859,1,-5.798576892298965,1,-0.11066255831323708,0,below_normal,above_normal,below_normal,above_normal,below_normal,above_normal,normal,below_normal,below_normal,normal,8,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,5,3,7.0,4.5,pos_sales,Medicaid Payer Mix Shift,Critical Alert,Positive Outlier,Critical Alert,green,28348.19,0.2603
MED-618,39302.3628,0.3090909090909091,0.8040540540540541,0.75,148.0,330.271956302521,0.9322033898305084,55.0,205,34.0,45.0,38.0,110.0,18.0,0.47368421052631576,73.0,0.6636363636363637,119.0,0.7006369426751592,0,2026-03-28,MED-618 OH-Beechmont,Region 5,District 502,OH,Cincinnati,2019-08-05 00:00:00,"1. High Supply, High Demand",2500.0,Cincinnati OH,Wing Eye Care,5.0,99898.9,10443.7,49.0,1.0,0.0,Neighborhood Center,2019 Vintage,6.0,Active,"Cincinnati, OH - IN - KY",Growth Era (2016-2019),0.0,0,0,0,0,0,0,0,0,0,0,0,6.6,19.833333333333332,80358.86455,1569.2546132177804,-42977.0913,-0.5223307783224584,-13635.892066666667,0.9208302924922451,0.020179139226029333,-0.14228740936058004,-0.15035525215937584,-0.038912675051288925,417.8868257961298,22.06367741231198,-93.8489411201594,-0.22127874785341972,-33.65493750489444,0.24648784727909798,0.01711093731112081,0.0664873587950511,0.27405764966740587,0.0264257481648786,0.6008206951882841,0.06561695377326943,0.059523809523809534,0.0862068965517242,0.048898071625344354,0.7691975940534237,0.06696540316761723,-0.1884346422807961,-0.2211489898989899,-0.043798230754752455,0.5545514670514671,0.0700255768403126,-0.18086124401913878,-0.2763157894736843,-0.02111760883690711,247.25,30.91251095160875,-17.0,-0.07657657657657657,-4.666666666666667,27.0,11.91637528781298,-19.0,-1.0,-5.0,0.675863284161245,0.006038953205825811,0.021922083237408185,0.03229940074624049,0.009934536447275303,True,-26.163059457772132,1,-5.786978182278454,1,-3.9710002941176947,1,3.6586576570018683,1,2.273487204651179,1,-1.5763547357855188,0,-1.154824568022656,0,-1.366760534792507,0,-2.265789667401062,1,4.102310064269903,1,below_normal,below_normal,below_normal,above_normal,above_normal,normal,normal,normal,below_normal,above_normal,7,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,4,3,7.0,3.5,pos_sales,Pricing / Mix Issue,Critical Alert,Positive Outlier,Critical Alert,green,241133.19,5.1353
MED-452,12304.8674,0.5185185185185185,0.7228915662650602,0.4166666666666667,83.0,205.08112333333332,0.4857142857142857,17.0,186,14.0,15.0,12.0,27.0,1.0,0.08333333333333333,17.0,0.6296296296296297,60.0,0.375,0,2026-03-28,MED-452 PA-New Kensington,Region 5,District 501,PA,New Kensington,2019-01-07 00:00:00,"4. Low Supply, Low Demand",2470.0,Pittsburgh PA,America's Best Contacts & Eyeglasses,0.0,48582.6,8264.84,45.0,1.0,0.0,Neighborhood Center,2019 Vintage,4.0,Active,"Pittsburgh, PA - MD - WV",Growth Era (2016-2019),1.0,0,0,0,0,0,0,0,0,0,0,0,7.2,15.0,20654.9696,3775.2055191612635,-10377.603200000001,-0.45751644003012626,-4175.87,0.7767951398085436,0.05025986777409808,-0.07710843373493981,-0.09638554216867479,-0.0362947115565064,248.3953986857005,20.78396994690083,-31.19461208333334,-0.13202630404820193,-24.645158888888886,0.20338962903004648,0.10434844860886892,0.3839031339031339,2.8518518518518516,0.10718294051627385,0.6240455503141029,0.09724467007005529,-0.1355721393034826,-0.24549549549549554,-0.06329690346083788,0.5827901146923917,0.07831087878095529,0.033475783475783505,0.056152927120669105,-0.0072951739618406135,0.3845238095238095,0.125590066093765,-0.25,-0.75,-0.07222222222222223,145.75,26.57536453183664,11.0,0.06285714285714294,14.0,19.75,6.075908711186055,-27.0,-1.0,-4.333333333333333,0.5381124979169181,0.1103956261791124,-0.08114035087719296,-0.1778846153846153,-0.09722222222222221,True,-2.211827185995199,1,-1.0724973210387783,0,-2.084023190132929,1,3.019967174305341,1,-2.132547557599198,1,0.5981227087012208,0,-2.39820302320415,1,1.5145605980975907,0,-3.2505425836367903,1,-1.4775268148058212,0,below_normal,normal,below_normal,above_normal,below_normal,normal,below_normal,normal,below_normal,normal,6,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,5,1,7.0,1.5,eo_pct,Medicaid Payer Mix Shift,Critical Alert,Normal,Critical Alert,green,36535.66,1.9692
MED-1316,1823.2745,1.0,0.45454545454545453,0.0,11.0,364.6549,0.5,1.0,0,4.0,0.0,0.0,4.0,1.0,,3.0,0.75,5.0,0.8,0,2026-03-28,MED-1316 IN-St John-S Wicker Ave,Region 1,District 112,IN,Saint John,2025-11-17 00:00:00,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.4,,24728.0981,3089.7158044728526,-21016.1777,-0.920169954864329,-7430.743866666667,0.9588100686498855,0.19442972156072538,-0.24110671936758893,-0.34659090909090906,-0.2108036890645586,520.3688302051887,130.79150502153578,-349.07798125,-0.4890877111317057,-39.218407333333325,0.3612551241861586,0.08462221424004357,0.75,3.0,0.21969696969696972,0.6068924037674037,0.0491851796574205,-0.5625,-1.0,-0.20202020202020202,0.7815683777429467,0.06222507892401188,0.03125,0.04347826086956519,-0.015151515151515138,0.3744212962962963,0.22948502484681602,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.7034266808460357,0.070901890403013,0.13333333333333341,0.20000000000000018,0.030107526881720432,True,-7.413246087825179,1,-2.5935572506950084,1,-1.1905507944078575,0,7.548193834800234,1,-12.338928270557668,1,-0.5073256360429445,0,,0,,0,,0,1.362069736152768,0,below_normal,below_normal,normal,above_normal,below_normal,normal,normal,normal,normal,normal,4,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,6.5,0.0,epp_pct,Low Exam Conversion,Critical Alert,Normal,Critical Alert,red,-52578.78,-29.8376
MED-897,22973.1613,0.3770491803278688,0.6074766355140186,0.6428571428571429,107.0,353.43325076923077,0.8809523809523809,37.0,100,23.0,27.0,17.0,61.0,3.0,0.17647058823529413,51.0,0.8360655737704918,65.0,0.7439024390243902,0,2026-03-28,MED-897 TX-Amarillo-Wolflin Square,Region 4,District 409,TX,Amarillo,2021-10-18 00:00:00,"4. Low Supply, Low Demand",2694.0,Amarillo TX,Morgenthal Frederics,7.0,,,51.0,1.0,0.0,,2021 Vintage,,Active,,Post-COVID (2020-2022),0.0,0,0,0,0,0,0,0,0,0,0,0,4.4,,40607.068475,3543.5091305376664,-18564.574500000002,-0.4469327502439361,-5975.9254,0.7384615384615385,0.05858287004510665,-0.1694464414090583,-0.21809938003146112,-0.028277018931224546,423.19809501545933,22.984070495677134,-57.831460121858356,-0.14061858114826986,-33.673870113960106,0.3321291894366348,0.06387837313518349,0.10738625897955423,0.39822404371584685,0.017249325169530576,0.5184611657722122,0.04370380391440561,0.15535714285714292,0.3186813186813189,0.029670329670329676,0.8687983750495774,0.042898863575264755,0.00460489961318844,0.005538325210456385,-0.026532358943972583,0.10378527841342487,0.0796563514884315,0.018575851393188875,0.11764705882352944,0.05882352941176471,134.0,11.284207253207123,-33.0,-0.24812030075187974,-8.0,27.0,4.546060565661958,-31.0,-1.0,-10.0,0.7401785714285715,0.04627441848905653,0.002235772357723542,0.0030145245272676924,-0.015524583817266735,True,-4.976396708853509,1,-2.235890847387066,1,-3.035356346446553,1,0.7032112542404845,0,2.8463421016752126,1,-0.7630225733522475,0,0.9124860537006311,0,-3.0130605754637076,1,-5.9392081583648,1,0.08047356871052708,0,below_normal,below_normal,below_normal,normal,above_normal,normal,normal,below_normal,below_normal,normal,6,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,4,2,6.5,2.5,pos_sales,Pricing / Mix Issue,Critical Alert,Normal,Critical Alert,red,-7201.98,-1.3135
MED-205,20040.5095,0.2857142857142857,0.5841584158415841,0.5348837209302325,101.0,339.6696525423729,0.8636363636363636,38.0,133,16.0,23.0,11.0,56.0,2.0,0.18181818181818182,43.0,0.7678571428571429,59.0,0.8,0,2026-03-28,MED-205 MD-Annapolis-Riva Road,Region 2,District 202,MD,Annapolis,2016-03-31 00:00:00,"3. Low Supply, High Demand",10000.0,Baltimore MD,THE CENTER FOR VISION DEVELOPMENT LLC,14.0,129606.0,6715.57,46.0,1.0,0.0,Community Center,2016 Vintage,1.0,Active,"Baltimore, MD",Growth Era (2016-2019),0.0,0,0,0,0,0,0,0,0,0,0,0,10.0,59.0,36409.859475,7616.710319709638,-17785.7924,-0.470196437574565,-4999.9978,0.8144290565420178,0.053078741350409894,-0.21584158415841592,-0.26980198019801993,-0.08250825082508251,443.2424245987758,24.587959517617666,-133.1591212076271,-0.2816222882366983,-25.826397168415383,0.23643137959116106,0.03481809998147294,0.05904761904761904,0.26050420168067223,0.025974025974025965,0.500834474948399,0.0746252166489022,0.10450397409478945,0.24281805745554008,-0.02083962549078829,0.7455020181821138,0.13058881047250423,0.11452380952380958,0.17529154518950452,-0.042748917748917724,0.3729341736694678,0.08217723710458237,-0.29437229437229434,-0.6181818181818182,-0.03743315508021391,129.75,10.43631480296884,13.0,0.10833333333333339,3.3333333333333335,21.75,7.41057802513857,-15.0,-1.0,-8.666666666666666,0.7580037929166051,0.013043995725186486,0.05742574257425748,0.07733333333333348,0.012541254125412552,True,-2.1491364759719556,1,-4.338283743019755,1,-4.212337017319041,1,1.4154392729456393,0,0.45626997831080124,0,0.17118713765859758,0,-2.3256560890221136,1,0.31141260697458706,0,-2.9349937246755187,1,3.219581481639477,1,below_normal,below_normal,below_normal,normal,normal,normal,below_normal,normal,below_normal,above_normal,6,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4,2,6.5,2.5,utilization,Pricing / Mix Issue,Critical Alert,Normal,Critical Alert,red,8051.21,-0.5983
MED-147,4927.8056,0.5,0.35,0.75,40.0,351.9861142857143,1.0,10.0,46,6.0,9.0,2.0,12.0,0.0,0.0,11.0,0.9166666666666666,14.0,0.75,0,2026-03-28,MED-147 GA-Sandy Springs,Region 3,District 306,GA,Atlanta,2016-02-01 00:00:00,"4. Low Supply, Low Demand",6500.0,Atlanta GA,The Eye Gallery,4.0,82405.3,14187.5,36.0,1.0,0.0,Community Center,2016 Vintage,3.0,Active,Atlanta GA - AL -NC,Growth Era (2016-2019),0.0,0,0,0,0,0,0,0,0,0,0,0,10.2,4.666666666666667,16398.470525,2988.7104344140444,-6999.8704,-0.5868595357553308,-4257.536466666667,0.42749999999999994,0.06742279535389312,0.0,0.0,-0.02,452.7532945470383,44.92068189667305,-74.00231428571425,-0.17371907151066135,-26.577108246225333,0.26021018455228984,0.09390781387952904,0.2857142857142857,1.3333333333333335,0.08333333333333333,0.671870286576169,0.1497701101842488,0.15000000000000002,0.25,0.07051282051282053,0.7541866028708134,0.025849500938965358,0.16666666666666663,0.2222222222222221,0.055555555555555546,0.41773551525873504,0.11543947634772511,-0.5882352941176471,-1.0,-0.12698412698412698,63.25,13.598406769422166,3.0,0.06976744186046502,-8.666666666666666,13.25,1.499999999999994,-15.0,-1.0,-4.666666666666667,0.6145115728084564,0.026404049239146857,0.12777777777777777,0.2053571428571428,0.05645161290322579,True,-3.8379980853678446,1,-1.1494628722112894,0,-2.2432246352161256,1,2.5534596700901577,1,0.5216642581601563,0,6.285617048448773,1,-3.618653934295736,1,-1.2685309604643487,0,-8.83333333333337,1,5.131350345713922,1,below_normal,normal,below_normal,above_normal,normal,above_normal,below_normal,normal,below_normal,above_normal,7,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,4,3,6.0,3.5,pos_sales,Pricing / Mix Issue,Critical Alert,Positive Outlier,Critical Alert,red,1038.45,-0.7893
MED-319,13641.7089,0.32142857142857145,0.37037037037037035,0.32,81.0,454.72363,0.75,18.0,61,9.0,8.0,11.0,28.0,4.0,0.36363636363636365,20.0,0.7142857142857143,30.0,0.6829268292682927,0,2026-03-28,MED-319 FL-Boca Raton,Region 3,District 302,FL,Boca Raton,2018-01-02 00:00:00,"4. Low Supply, Low Demand",2157.0,West Palm Beach-Fort Pierce FL,VISIONCARE UNLIMITED,1.0,167803.0,7907.76,55.0,1.0,0.0,Community Center,2018 Vintage,2.0,Active,"W. Palm Beach - Ft. Pierce, FL",Growth Era (2016-2019),0.0,0,0,0,0,0,0,0,0,0,0,0,8.2,15.0,27417.132225,4558.610661298351,-16599.608500000002,-0.5489049395711842,-6229.429866666668,0.6008655498281787,0.11220080531473446,-0.21725849560901112,-0.36972059779077326,-0.1091820987654321,478.8560821216743,93.92921667153341,-75.82579807017538,-0.14291938518524983,-9.271220348258717,0.3031695423855964,0.06633267637994401,0.07142857142857145,0.2857142857142858,0.02380952380952382,0.28741645983353226,0.07981325585298954,0.061935483870967756,0.24,-0.006428571428571432,0.6968484587664774,0.05071370370474722,0.0,0.0,0.024553571428571435,0.5982142857142857,0.3132219551648303,-0.13636363636363635,-0.2727272727272727,-0.09307359307359309,93.25,14.773286702694177,-13.0,-0.17567567567567566,-16.333333333333332,17.5,2.5166114784235867,-18.0,-1.0,-6.666666666666667,0.7899905685087238,0.004767943055885656,-0.1058055650979044,-0.13414634146341453,-0.03573220917394356,True,-3.0218468626747303,1,-2.0543094927995074,1,-0.2569216797161685,0,0.27526447053620995,0,0.4082472243268006,0,0.34383715338078624,0,-0.748919155282322,0,-2.182994255037278,1,-6.953794874591471,1,-22.454911475561612,1,below_normal,below_normal,normal,normal,normal,normal,normal,below_normal,below_normal,below_normal,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,4,1,6.0,1.5,comp_exam_pct,Demand Warning,Critical Alert,Normal,Critical Alert,green,18434.12,0.3513
